Price,Promotional_Price,Url
,"229,-",https://www.coolblue.nl/en/product/558116/jamo-j-10-applewood.html
"229,-","179,-",https://www.coolblue.nl/en/second-chance-product/667012
,"284,-",https://www.coolblue.nl/en/product/489545/bose-151-ii-zwart-per-paar.html
"149,-","138,-",https://www.coolblue.nl/en/second-chance-product/702717
,"229,-",https://www.coolblue.nl/en/product/749290/monitor-audio-bronze-center-per-piece-white.html
,"249,-",https://www.coolblue.nl/en/product/803512/focal-sib-evo-2-0-per-pair.html
,"279,-",https://www.coolblue.nl/en/product/819767/klipsch-r-51m-per-pair.html
,"359,-",https://www.coolblue.nl/en/product/819359/klipsch-rp-500c-each.html
"179,99","158,-",https://www.coolblue.nl/en/second-chance-product/697223
,"179,99",https://www.coolblue.nl/en/product/816645/monitor-audio-monitor-c150-per-piece.html
"284,-","262,-",https://www.coolblue.nl/en/second-chance-product/693439
"225,-","208,-",https://www.coolblue.nl/en/second-chance-product/681143
,"198,-",https://www.coolblue.nl/en/product/796828/dali-spektor-1-walnut-per-unit.html
,"149,99",https://www.coolblue.nl/en/product/550238/cambridge-audio-minx-min-22-white-per-unit.html
,"229,-",https://www.coolblue.nl/en/product/489551/bose-161-wit-per-paar.html
,"199,-",https://www.coolblue.nl/en/product/550961/cambridge-audio-sx-50-walnut-per-pair.html
"284,-","270,-",https://www.coolblue.nl/en/second-chance-product/705838
,"298,-",https://www.coolblue.nl/en/product/430904/dali-zensor-1-black-per-pair.html
,"299,-",https://www.coolblue.nl/en/product/489535/bose-201-v-black-per-pair.html
,"319,-",https://www.coolblue.nl/en/product/715905/bowers-wilkins-ccm382-per-pair.html
"229,-","212,-",https://www.coolblue.nl/en/second-chance-product/690409
"279,-","258,-",https://www.coolblue.nl/en/second-chance-product/698945
,"299,-",https://www.coolblue.nl/en/product/796834/dali-spektor-6-walnut-per-unit.html
,"258,-",https://www.coolblue.nl/en/product/796829/dali-zensor-2-black-per-pair.html
,"209,-",https://www.coolblue.nl/en/product/715607/jbl-arena-180-black-per-unit.html
,"299,-",https://www.coolblue.nl/en/product/819741/klipsch-r-610-f-each.html
,"299,-",https://www.coolblue.nl/en/product/550964/cambridge-audio-sx-60-walnut-per-pair.html
,"399,-",https://www.coolblue.nl/en/product/715909/bowers-wilkins-ccm665-per-pair.html
,"199,-",https://www.coolblue.nl/en/product/550959/cambridge-audio-sx-50-black-per-pair.html
